Strike,Call,Put,Expiry,Date
5.0,1,8,2026-09-19,2026-09-17
10.0,0,4,2026-09-19,2026-09-17
15.0,0,7,2026-09-19,2026-09-17
20.0,1,49,2026-09-19,2026-09-17
25.0,0,1156,2026-09-19,2026-09-17
30.0,1,650,2026-09-19,2026-09-17
35.0,5,4796,2026-09-19,2026-09-17
40.0,13,387,2026-09-19,2026-09-17
45.0,13,928,2026-09-19,2026-09-17
50.0,85,5279,2026-09-19,2026-09-17
55.0,13,2105,2026-09-19,2026-09-17
60.0,47,3657,2026-09-19,2026-09-17
65.0,51,2982,2026-09-19,2026-09-17
70.0,37,29257,2026-09-19,2026-09-17
75.0,35,8966,2026-09-19,2026-09-17
80.0,405,11364,2026-09-19,2026-09-17
85.0,102,7398,2026-09-19,2026-09-17
90.0,102,25111,2026-09-19,2026-09-17
95.0,118,13210,2026-09-19,2026-09-17
100.0,7500,7500,2026-09-19,2026-09-17
100.0,2020,28362,2026-09-19,2026-09-17
105.0,5025,17231,2026-09-19,2026-09-17
110.0,6372,17915,2026-09-19,2026-09-17
115.0,22109,27606,2026-09-19,2026-09-17
115.01,1080,1080,2026-09-19,2026-09-17
119.0,9,913,2026-09-19,2026-09-17
120.0,9500,9500,2026-09-19,2026-09-17
120.0,7087,22447,2026-09-19,2026-09-17
121.0,15,402,2026-09-19,2026-09-17
122.0,43,2245,2026-09-19,2026-09-17
123.0,34,726,2026-09-19,2026-09-17
124.0,27,800,2026-09-19,2026-09-17
125.0,4018,19582,2026-09-19,2026-09-17
126.0,35,1278,2026-09-19,2026-09-17
127.0,46,2739,2026-09-19,2026-09-17
128.0,54,3743,2026-09-19,2026-09-17
129.0,90,3994,2026-09-19,2026-09-17
130.0,0,0,2026-09-19,2026-09-17
130.0,21637,20531,2026-09-19,2026-09-17
131.0,157,1885,2026-09-19,2026-09-17
132.0,76,4856,2026-09-19,2026-09-17
133.0,41,2283,2026-09-19,2026-09-17
134.0,97,3546,2026-09-19,2026-09-17
135.0,72,72,2026-09-19,2026-09-17
135.0,14072,25030,2026-09-19,2026-09-17
136.0,0,0,2026-09-19,2026-09-17
136.0,145,18343,2026-09-19,2026-09-17
137.0,919,23374,2026-09-19,2026-09-17
138.0,1424,6986,2026-09-19,2026-09-17
139.0,1354,6550,2026-09-19,2026-09-17
140.0,25000,25303,2026-09-19,2026-09-17
140.0,15227,32266,2026-09-19,2026-09-17
140.01,93,93,2026-09-19,2026-09-17
141.0,883,2849,2026-09-19,2026-09-17
142.0,1551,10390,2026-09-19,2026-09-17
143.0,1780,7142,2026-09-19,2026-09-17
144.0,2328,19362,2026-09-19,2026-09-17
145.0,0,30000,2026-09-19,2026-09-17
145.0,27953,21210,2026-09-19,2026-09-17
146.0,4241,8195,2026-09-19,2026-09-17
147.0,3379,1727,2026-09-19,2026-09-17
148.0,3920,2575,2026-09-19,2026-09-17
149.0,4987,3466,2026-09-19,2026-09-17
150.0,76550,76550,2026-09-19,2026-09-17
