Expiry,callHedge,putHedge,netHedge,Price,ProcDate,ClosePrice
2026-09-24,126263.59753536474,-5568821.633930743,-5442558.0363953775,644.0999755859375,2026-09-23,744.0999755859375
2026-09-26,2417837.0859732735,-5846255.188004699,-3428418.1020314256,644.0999755859375,2026-09-23,744.0999755859375
2026-09-29,51376.6092309473,-779517.7969943697,-728141.1877634225,644.0999755859375,2026-09-23,744.0999755859375
2026-09-30,268.1705711180059,-0.00386276639473865,268.1667083516112,644.0999755859375,2026-09-23,744.0999755859375
2026-10-01,42508.35447033177,-452122.77491894277,-409614.420448611,644.0999755859375,2026-09-23,744.0999755859375
2026-10-02,42.81022731039655,0.0,42.81022731039655,644.0999755859375,2026-09-23,744.0999755859375
2026-10-03,1930675.1350272133,-1631526.233287394,299148.90173981903,644.0999755859375,2026-09-23,744.0999755859375
2026-10-06,40254.559664809705,-167775.9874126103,-127521.42774780058,644.0999755859375,2026-09-23,744.0999755859375
2026-10-09,45.826293138955606,0.0,45.826293138955606,644.0999755859375,2026-09-23,744.0999755859375
2026-10-10,1175528.309019214,-2042941.7950062132,-867413.4859869991,644.0999755859375,2026-09-23,744.0999755859375
2026-10-17,8472647.500249764,-3999959.2962966915,4472688.203953072,644.0999755859375,2026-09-23,744.0999755859375
2026-10-24,385719.62713348557,-984446.6643840257,-598727.0372505401,644.0999755859375,2026-09-23,744.0999755859375
2026-10-28,148384.73856593977,-19615.261434060223,128769.47713187954,644.0999755859375,2026-09-23,744.0999755859375
2026-10-29,335385.4199941005,-124614.58000589948,210770.83998820104,644.0999755859375,2026-09-23,744.0999755859375
2026-10-31,404142.6024053206,-695064.8437785512,-290922.2413732306,644.0999755859375,2026-09-23,744.0999755859375
2026-11-06,7457.584337790503,0.0,7457.584337790503,644.0999755859375,2026-09-23,744.0999755859375
2026-11-07,75495.1813040062,-80186.55574569842,-4691.374441692229,644.0999755859375,2026-09-23,744.0999755859375
2026-11-12,908.264027769401,0.0,908.264027769401,644.0999755859375,2026-09-23,744.0999755859375
2026-11-14,0.0,0.0,0.0,644.0999755859375,2026-09-23,744.0999755859375
2026-11-21,6744903.221840909,-2236764.944994359,4508138.27684655,644.0999755859375,2026-09-23,744.0999755859375
2026-12-01,41637.1912723638,-68362.8087276362,-26725.617455272404,644.0999755859375,2026-09-23,744.0999755859375
2026-12-02,41798.246283181485,-68201.75371681852,-26403.507433637038,644.0999755859375,2026-09-23,744.0999755859375
2026-12-03,41956.553113468595,-68043.4468865314,-26086.893773062802,644.0999755859375,2026-09-23,744.0999755859375
2026-12-05,46509.24788400294,-53573.499689508026,-7064.251805505084,644.0999755859375,2026-09-23,744.0999755859375
2026-12-19,5616370.421596441,-2387595.9605785105,3228774.4610179304,644.0999755859375,2026-09-23,744.0999755859375
2027-01-16,20724272.211654063,-3370982.027164965,17353290.184489097,644.0999755859375,2026-09-23,744.0999755859375
2027-01-27,3050.6215200269735,-1416.53666437733,1634.0848556496435,644.0999755859375,2026-09-23,744.0999755859375
2027-01-30,0.0,-337.93137579929135,-337.93137579929135,644.0999755859375,2026-09-23,744.0999755859375
2027-02-20,1054401.0474672108,-337039.3351682026,717361.7122990082,644.0999755859375,2026-09-23,744.0999755859375
2027-02-25,0.0,-504.7998211099001,-504.7998211099001,644.0999755859375,2026-09-23,744.0999755859375
2027-03-17,2234.5334540927593,-2715.046224136107,-480.5127700433477,644.0999755859375,2026-09-23,744.0999755859375
2027-03-20,2389990.648133423,-1292741.0811929093,1097249.566940514,644.0999755859375,2026-09-23,744.0999755859375
2027-03-31,0.0,-507.6570093155432,-507.6570093155432,644.0999755859375,2026-09-23,744.0999755859375
2027-06-18,2725437.0211617304,-1491371.3773565004,1234065.64380523,644.0999755859375,2026-09-23,744.0999755859375
2027-09-18,1657478.3675828078,-462132.3114578604,1195346.0561249475,644.0999755859375,2026-09-23,744.0999755859375
2027-09-28,25565.265319779,0.0,25565.265319779,644.0999755859375,2026-09-23,744.0999755859375
2027-12-18,3508174.2125082663,-761671.5349146337,2746502.6775936326,644.0999755859375,2026-09-23,744.0999755859375
